Date,Price,Open,High,Low,Vol.,Change %
"Apr 15, 2021",1764.6,1736.65,1770.35,1734.45,-,1.71%
"Apr 14, 2021",1734.9,1741.3,1745.9,1732.7,1.04K,-0.65%
"Apr 13, 2021",1746.2,1733.8,1746.9,1722.1,0.37K,0.87%
"Apr 12, 2021",1731.2,1740.8,1740.8,1726.7,0.04K,-0.69%
"Apr 09, 2021",1743.3,1750.8,1750.8,1733.3,0.48K,-0.77%
"Apr 08, 2021",1756.8,1736,1758,1734.6,1.30K,0.96%
"Apr 07, 2021",1740.1,1742.7,1742.7,1733.7,0.56K,-0.08%
"Apr 06, 2021",1741.5,1726.9,1744.8,1726.9,0.89K,0.84%
"Apr 05, 2021",1727,1727.9,1729.7,1721.9,0.28K,0.03%
"Apr 01, 2021",1726.5,1706.8,1728.8,1706.4,0.72K,0.74%
"Mar 31, 2021",1713.8,1683.7,1712.8,1676.5,0.76K,1.78%
"Mar 30, 2021",1683.9,1711,1712.6,1676.5,25.32K,-1.65%
"Mar 29, 2021",1712.2,1731.5,1732.6,1703.3,135.46K,-1.16%
"Mar 26, 2021",1732.3,1725.5,1735.5,1718.8,172.94K,0.42%
"Mar 25, 2021",1725.1,1733.2,1744.8,1720.3,226.21K,-0.47%
"Mar 24, 2021",1733.2,1725.9,1737.7,1722.3,186.52K,0.47%
"Mar 23, 2021",1725.1,1738.5,1742,1722.7,226.20K,-0.75%
"Mar 22, 2021",1738.1,1745.6,1747,1726.4,196.31K,-0.21%
"Mar 19, 2021",1741.7,1733.7,1746.1,1727.1,213.28K,0.53%
"Mar 18, 2021",1732.5,1744,1754.2,1716.6,251.76K,0.31%
"Mar 17, 2021",1727.1,1730,1750.6,1722,220.55K,-0.22%
"Mar 16, 2021",1730.9,1730.7,1740.5,1724.4,173.89K,0.1%
"Mar 15, 2021",1729.2,1726.5,1733.2,1719.2,163.05K,0.55%
"Mar 12, 2021",1719.8,1720.5,1728,1696.6,232.21K,-0.16%
"Mar 11, 2021",1722.6,1725,1738,1716.8,215.34K,0.05%
"Mar 10, 2021",1721.8,1714.5,1725.3,1705.6,226.89K,0.29%
"Mar 09, 2021",1716.9,1679.3,1718.7,1676.7,248.95K,2.32%
"Mar 08, 2021",1678,1701.6,1712,1673.3,273.91K,-1.21%
"Mar 05, 2021",1698.5,1695.3,1705.7,1683,269.33K,-0.13%
